timestamp(ms),adc1,adc2,adc3,
"1747073284.658","0.290323","0.387097","0",
"1747073284.659","0.319355","0.4","0.003226",
"1747073284.66","0.348387","0.432258","0.012903",
"1747073284.661","0.345161","0.403226","0.019355",
"1747073284.662","0.374194","0.393548","0.012903",
"1747073284.663","0.341935","0.358065","0.012903",
"1747073284.664","0.335484","0.293548","0.006452",
"1747073284.665","0.332258","0.332258","0.006452",
"1747073284.666","0.322581","0.287097","0.019355",
"1747073284.667","0.322581","0.351613","0.012903",
"1747073284.668","0.316129","0.33871","0.016129",
"1747073284.669","0.306452","0.325806","0.012903",
"1747073284.67","0.283871","0.3","0.048387",
"1747073284.671","0.245161","0.258065","0.006452",
"1747073284.672","0.216129","0.193548","0.019355",
"1747073284.673","0.219355","0.183871","0.003226",
"1747073284.674","0.225806","0.183871","0.016129",
"1747073284.675","0.277419","0.193548","0.012903",
"1747073284.676","0.277419","0.203226","0",
"1747073284.677","0.248387","0.2","0.003226",
"1747073284.678","0.270968","0.212903","0.019355",
"1747073284.679","0.274194","0.251613","0.009677",
"1747073284.68","0.409677","0.254839","0.009677",
"1747073284.681","0.348387","0.280645","0.016129",
"1747073284.682","0.467742","0.270968","0.022581",
"1747073284.683","0.335484","0.309677","0",
"1747073284.684","0.448387","0.303226","0",
"1747073284.685","0.458065","0.306452","0.029032",
"1747073284.686","0.406452","0.322581","0",
"1747073284.687","0.406452","0.325806","0",
"1747073284.688","0.435484","0.316129","0.009677",
"1747073284.689","0.412903","0.303226","0.003226",
"1747073284.69","0.403226","0.293548","0.012903",
"1747073284.691","0.393548","0.280645","0.009677",
"1747073284.692","0.43871","0.245161","0.022581",
"1747073284.693","0.380645","0.270968","0.016129",
"1747073284.694","0.419355","0.193548","0.016129",
"1747073284.695","0.36129","0.267742","0.006452",
"1747073284.696","0.396774","0.264516","0",
"1747073284.697","0.412903","0.293548","3.3",
"1747073284.698","0.412903","0.258065","3.3",
"1747073284.699","0.374194","0.241935","3.3",
"1747073284.7","0.409677","0.335484","3.3",
"1747073284.701","0.390323","0.290323","3.3",
"1747073284.702","0.370968","0.264516","3.3",
"1747073284.703","0.377419","0.296774","3.3",
"1747073284.704","0.458065","0.390323","3.3",
"1747073284.705","0.348387","0.290323","3.3",
"1747073284.706","0.396774","0.319355","3.3",
"1747073284.707","0.458065","0.448387","3.274194",
"1747073284.708","0.454839","0.448387","3.3",
"1747073284.709","0.406452","0.416129","3.296774",
"1747073284.71","0.409677","0.367742","3.3",
"1747073284.711","0.377419","0.370968","3.3",
"1747073284.712","0.409677","0.445161","3.3",
"1747073284.713","0.370968","0.43871","3.3",
"1747073284.714","0.248387","0.412903","3.3",
"1747073284.715","0.309677","0.383871","3.3",
"1747073284.716","0.329032","0.390323","3.3",
